[2020-04-14T20:00:51.966-0700][gc,heap      ] GC(4) Old regions: 6->6
[2020-04-14T20:00:51.966-0700][gc,heap      ] GC(4) Humongous regions: 1->1
[2020-04-14T20:00:51.966-0700][gc,metaspace ] GC(4) Metaspace: 6811K->6811K(1056768K)
[2020-04-14T20:00:51.966-0700][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 30M->6M(512M) 2.256ms
[2020-04-14T20:00:51.966-0700][gc,cpu       ] GC(4) User=0.01s Sys=0.00s Real=0.00s
[2020-04-14T20:00:52.008-0700][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:52.008-0700][gc,task      ] GC(5) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:52.009-0700][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:00:52.009-0700][gc,phases    ] GC(5)   Evacuate Collection Set: 1.0ms
[2020-04-14T20:00:52.009-0700][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.1ms
[2020-04-14T20:00:52.009-0700][gc,phases    ] GC(5)   Other: 0.1ms
[2020-04-14T20:00:52.009-0700][gc,heap      ] GC(5) Eden regions: 24->0(24)
[2020-04-14T20:00:52.009-0700][gc,heap      ] GC(5) Survivor regions: 1->1(4)
[2020-04-14T20:00:52.009-0700][gc,heap      ] GC(5) Old regions: 6->6
[2020-04-14T20:00:52.009-0700][gc,heap      ] GC(5) Humongous regions: 1->1
[2020-04-14T20:00:52.009-0700][gc,metaspace ] GC(5) Metaspace: 6830K->6830K(1056768K)
[2020-04-14T20:00:52.009-0700][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 30M->6M(512M) 1.249ms
[2020-04-14T20:00:52.009-0700][gc,cpu       ] GC(5) User=0.01s Sys=0.00s Real=0.00s
[2020-04-14T20:00:52.046-0700][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:52.046-0700][gc,task      ] GC(6) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:52.048-0700][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
